"","ID","Sub","level","cover","spec","treetyp","dep_ID"
"188","P23","EP01",2,0.5,"hypnum cupressiforme","FS_","EI"
"189","P23","EP01",2,2.5,"orthotrichum affine","FS_","EI"
"190","P23","EP01",1,0.5,"orthotrichum affine","FS_","EI"
"191","P23","EP01",2,0.1,"scapania nemorosa cf.","FS_","EI"
"192","P23","EP01",1,0.1,"scapania nemorosa cf.","FS_","EI"
"193","P23","EP02",1,0.5,"brachythecium rutabulum","QP_","EI"
"194","P23","EP02",2,2.5,"hypnum cupressiforme","QP_","EI"
"195","P23","EP02",1,37.5,"hypnum cupressiforme","QP_","EI"
"196","P23","EP02",1,2.5,"isothecium myosuroides","QP_","EI"
"197","P23","DW01",NA,15,"brachythecium rutabulum",NA,"EI"
"198","P23","DW01",NA,37.5,"hypnum cupressiforme",NA,"EI"
"199","P23","SL01",NA,0.5,"atrichum undulatum",NA,"EI"
"200","P23","SL01",NA,0.5,"brachythecium rutabulum",NA,"EI"
"201","P23","SL01",NA,0.1,"polytrichum formosum",NA,"EI"
"202","P24","EP01",1,0.1,"dicranum scoparium","FS_","EI"
"203","P24","EP01",1,62.5,"hypnum cupressiforme","FS_","EI"
"204","P24","EP01",1,0.1,"ortho dicranum montanum","FS_","EI"
"205","P24","EP01",1,0.1,"orthotrichum affine","FS_","EI"
"206","P24","EP02",1,0.5,"brachythecium rutabulum","QP_","EI"
"207","P24","EP02",1,62.5,"hypnum cupressiforme","QP_","EI"
"208","P24","EP02",2,2.5,"hypnum cupressiforme","QP_","EI"
"209","P24","DW01",NA,37.5,"brachythecium rutabulum",NA,"EI"
"210","P24","DW01",NA,0.1,"dicranum scoparium",NA,"EI"
"211","P24","DW01",NA,37.5,"hypnum cupressiforme",NA,"EI"
"212","P24","SL01",NA,0.1,"atrichum undulatum",NA,"EI"
"213","P24","SL01",NA,0.1,"brachythecium rutabulum",NA,"EI"
"214","P24","SL01",NA,2.5,"polytrichum formosum",NA,"EI"
"215","P25","EP03",1,2.5,"eurhynchium striatum","SA_","CL"
"216","P25","EP03",1,37.5,"hypnum cupressiforme","SA_","CL"
"217","P25","EP03",2,2.5,"hypnum cupressiforme","SA_","CL"
"218","P25","EP03",2,0.1,"orthotrichum affine","SA_","CL"
"219","P25","EP01",1,15,"hypnum cupressiforme","CB_","CL"
"220","P25","EP02",1,15,"hypnum cupressiforme","LD_","CL"
"221","P25","EP02",2,2.5,"hypnum cupressiforme","LD_","CL"
"222","P25","EP02",1,0.1,"thuidium tamariscinum","LD_","CL"
"223","P25","DW01",NA,2.5,"brachythecium rutabulum",NA,"CL"
"224","P25","DW01",NA,2.5,"dicranum scoparium",NA,"CL"
"225","P25","DW01",NA,0.5,"polytrichum formosum",NA,"CL"
"226","P25","DW01",NA,62.5,"rhytidiadelphus squarrosus",NA,"CL"
"227","P25","DW01",NA,0.5,"thuidium tamariscinum",NA,"CL"
"228","P25","SL01",NA,2.5,"dicranum scoparium",NA,"CL"
"229","P25","SL01",NA,2.5,"eurhynchium striatum",NA,"CL"
"230","P25","SL01",NA,37.5,"hylocomium splendens",NA,"CL"
"231","P25","SL01",NA,0.1,"pleurozium schreberi",NA,"CL"
"232","P25","SL01",NA,0.1,"polytrichum formosum",NA,"CL"
"233","P25","SL01",NA,2.5,"rhytidiadelphus squarrosus",NA,"CL"
"234","P25","SL01",NA,0.5,"scleropodium purum",NA,"CL"
"235","P26","EP02",1,2.5,"hypnum cupressiforme","AS_","XX"
"236","P26","EP01",1,15,"hypnum cupressiforme","XX","XX"
"237","P26","EP01",1,2.5,"hypnum cupressiforme","XX","XX"
"238","P26","DW01",NA,15,"brachythecium rutabulum",NA,"XX"
"239","P26","DW01",NA,37.5,"hypnum cupressiforme",NA,"XX"
"240","P26","SL01",NA,0.5,"brachythecium rutabulum",NA,"XX"
"241","P26","SL01",NA,2.5,"eurhynchium praelongum",NA,"XX"
"242","P26","SL01",NA,2.5,"eurhynchium striatum",NA,"XX"
"243","P26","SL01",NA,2.5,"polytrichum formosum",NA,"XX"
"244","P27","EP01",1,0.5,"hypnum cupressiforme","PA_","FI"
"245","P27","EP01",1,0.1,"ortho dicranum montanum","PA_","FI"
"246","P27","DW01",NA,0.1,"dicranum scoparium",NA,"FI"
"247","P27","DW01",NA,62.5,"hypnum cupressiforme",NA,"FI"
"248","P27","SL01",NA,37.5,"brachythecium rutabulum",NA,"FI"
"249","P27","SL01",NA,0.5,"dicranum scoparium",NA,"FI"
"250","P27","SL01",NA,2.5,"eurhynchium striatum",NA,"FI"
"251","P27","SL01",NA,0.1,"hypnum cupressiforme",NA,"FI"
"252","P27","SL01",NA,15,"plagiomnium undulatum",NA,"FI"
"253","P27","SL01",NA,2.5,"polytrichum formosum",NA,"FI"
"254","P27","SL01",NA,2.5,"scleropodium purum",NA,"FI"
"255","P28","EP01",1,0.5,"brachythecium rutabulum","PA_","FI"
"256","P28","EP01",1,2.5,"hypnum cupressiforme","PA_","FI"
"257","P28","DW01",NA,87.5,"brachythecium rutabulum",NA,"FI"
"258","P28","DW01",NA,0.5,"hypnum cupressiforme",NA,"FI"
"259","P28","SL01",NA,0.1,"atrichum undulatum",NA,"FI"
"260","P28","SL01",NA,0.1,"brachythecium rutabulum",NA,"FI"
"261","P28","SL01",NA,0.1,"eurhynchium praelongum",NA,"FI"
"262","P29","EP02",1,0.5,"hypnum cupressiforme","PA_","FI"
"263","P29","EP01",NA,0.5,"hypnum cupressiforme","PA_","FI"
"264","P29","DW01",NA,62.5,"atrichum undulatum",NA,"FI"
"265","P29","DW01",NA,2.5,"brachythecium rutabulum",NA,"FI"
"266","P29","DW01",NA,0.1,"dicranella heteromalla",NA,"FI"
"267","P29","DW01",NA,15,"hypnum cupressiforme",NA,"FI"
"268","P29","SL01",NA,2.5,"polytrichum formosum",NA,"FI"
